Term	Count
raw10	114
stw118	101
lec1	91
woh6	80
raw26	79
pow1	76
kih7	74
dnj6	74
cwt22	74
bcf1	72
daj58	71
dnj164	68
brw65	68
esr27	67
dnj19	66
woh1	63
her10	63
roj56	62
ctr15	62
dnj18	61
dnj208	58
cwt54	57
pew61	56
woh18	55
dnj91	55
cwt69	55
mog1	54
cvg2	54
esr18	53
dnj20	53
dnj112	53
cwt7	53
roj96	52
stw160	51
maa53	51
elq69	51
dnj129	51
hoj3	50
dnj103	50
stw133	49
dnj216	49
dnj14	49
ctr41	49
woh27	48
dnj203	48
dnj152	48
raw65	46
maa57	46
jnb32	46
dnj15	46
cwt72	46
cwt126	46
cmw3	46
b_f48	46
tic2	45
stw52	45
kih40	45
drw84	45
dnj64	45
dnj157	45
dnj11	45
dnj108	45
dnj153	44
ctr26	44
cor2	44
sip87	43
esr14	43
dnj94	43
dnj70	43
dnj46	43
dnj123	43
raw18	42
drj30	42
dnj32	42
dnj25	42
dnj154	42
coa118	42
woh14	41
raw68	41
nar1	41
dnj23	41
cmw103	41
shj64	40
dnj114	40
dnj106	40
dnj101	40
cwt75	40
clj43	40
wae136	39
mrj16	39
maa55	39
jnb42	39
hrj31	39
dnj24	39
dnj158	39
dkt3	39
cwt93	39
cor17	39
stw119	38
dnj142	38
dnj102	38
ctr37	38
ctr12	38
cor9	38
cor41	38
brw61	38
stw159	37
roj29	37
pew50	37
kih31	37
dnj189	37
dnj144	37
dnj127	37
cwt79	37
hlj19	36
dnj93	36
dnj43	36
dnj27	36
dnj202	36
cor38	36
cor25	36
brw63	36
brt19	36
bcf41	36
stw38	35
jnb33	35
jnb160	35
drm5	35
dnj73	35
dnj26	35
cwt9	35
roj42	34
kih10	34
doc7	34
dnj211	34
dnj188	34
dnj177	34
cor20	34
cae1	34
rnt80	33
raw76	33
raw72	33
raw57	33
jnb5	33
doc60	33
dnj61	33
dnj31	33
dnj143	33
cor16	33
cmt73	33
stw57	32
stw51	32
roj21	32
rnt147	32
maa28	32
lej19	32
kih28	32
eaj2	32
dnj83	32
dnj141	32
cwt66	32
cwt18	32
cle15	32
rnt83	31
hoj7	31
dnj38	31
dnj209	31
dnj105	31
cwt35	31
cwt118	31
cle16	31
roj5	30
raw89	30
raw51	30
hrj37	30
feo23	30
dnj85	30
dnj72	30
dnj39	30
dnj219	30
daj51	30
ctr50	30
bmf3	30
bcf35	30
wae70	29
maa54	29
maa31	29
hoj58	29
her46	29
dnj99	29
dnj97	29
dnj55	29
dnj4	29
dnj33	29
dnj210	29
cor36	29
bmf4	29
bcf29	29
stw138	28
sip37	28
raw48	28
maa49	28
maa25	28
esr20	28
dye9	28
doc29	28
dnj54	28
dnj53	28
dnj29	28
dnj204	28
dnj109	28
ctr4	28
stw62	27
rnt131	27
mrt54	27
hrj13	27
dnj8	27
dnj56	27
dnj145	27
dnj133	27
cwt73	27
cor27	27
cor19	27
bmf1	27
bcf27	27
mog3	26
maa58	26
hrj30	26
grj7	26
dnj47	26
dnj256	26
dnj107	26
cwt109	26
ctr48	26
cor43	26
cor42	26
coa6	26
roj10	25
rnt56	25
pow4	25
kih17	25
jnb26	25
her42	25
her1	25
grj3	25
dnj69	25
dnj65	25
dnj218	25
dnj120	25
cwt42	25
ctr45	25
ctr11	25
bcf127	25
woh7	24
woh15	24
stw59	24
stw164	24
roj57	24
rnt116	24
raw11	24
pew6	24
lor15	24
kih58	24
